scenario,n_port,lam_nm,eta_atm,eta_tel,eta_fore,eta_inj,eta_internal,qe,eta_sys
3-port,3,997.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,998.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,999.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1000.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1001.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1002.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1003.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1004.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1005.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1006.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1007.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1008.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1009.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1010.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1011.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1012.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1013.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1014.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1015.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1016.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1017.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1018.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1019.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1020.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1021.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1022.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1023.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1024.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1025.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1026.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1027.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1028.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1029.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1030.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1031.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1032.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1033.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1034.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
3-port,3,1035.0,0.85,0.81,0.8,0.6,0.95,0.9,0.28256040000000004
